                       	strsep
Length   24/6, alignment  3/15, fail:	94.145
Length   24/6, alignment  9/ 0, found:	93.4009
Length   24/6, alignment  9/ 0, fail:	96.5046
Length   24/6, alignment  9/ 3, found:	91.1072
Length   24/6, alignment  9/ 3, fail:	96.0996
Length   24/6, alignment  9/ 9, found:	94.0049
Length   24/6, alignment  9/ 9, fail:	94.2151
Length   24/6, alignment  9/15, found:	94.0037
Length   24/6, alignment  9/15, fail:	96.6829
Length   24/6, alignment 15/ 0, found:	82.9941
Length   24/6, alignment 15/ 0, fail:	95.8286
Length   24/6, alignment 15/ 3, found:	84.949
Length   24/6, alignment 15/ 3, fail:	94.2324
Length   24/6, alignment 15/ 9, found:	85.2183
Length   24/6, alignment 15/ 9, fail:	94.2312
Length   24/6, alignment 15/15, found:	85.1206
Length   24/6, alignment 15/15, fail:	93.9663
Length   30/6, alignment  0/ 0, found:	88.3447
Length   30/6, alignment  0/ 0, fail:	103.326
Length   30/6, alignment  0/ 3, found:	86.4888
Length   30/6, alignment  0/ 3, fail:	102.365
Length   30/6, alignment  0/ 9, found:	88.6558
Length   30/6, alignment  0/ 9, fail:	100.561
Length   30/6, alignment  0/15, found:	88.7107
Length   30/6, alignment  0/15, fail:	102.507
Length   30/6, alignment  3/ 0, found:	86.4158
Length   30/6, alignment  3/ 0, fail:	102.328
Length   30/6, alignment  3/ 3, found:	88.3289
Length   30/6, alignment  3/ 3, fail:	100.53
Length   30/6, alignment  3/ 9, found:	88.8027
Length   30/6, alignment  3/ 9, fail:	102.582
Length   30/6, alignment  3/15, found:	86.4172
Length   30/6, alignment  3/15, fail:	102.459
Length   30/6, alignment  9/ 0, found:	86.4453
Length   30/6, alignment  9/ 0, fail:	102.507
